,precision,recall,f1-score,support
0,0.2747132714363736,0.5228690228690228,0.3601861797350519,962.0
1,0.5175936435868331,0.8344007319304666,0.6388791593695271,1093.0
2,0.20352564102564102,0.13382507903055849,0.16147488874761604,949.0
3,0.17986577181208055,0.12749762131303521,0.14922048997772833,1051.0
4,0.21437740693196405,0.1675025075225677,0.18806306306306309,997.0
5,0.2722222222222222,0.20784729586426298,0.23571858087793143,943.0
6,0.19230769230769232,0.18108651911468812,0.18652849740932642,994.0
7,0.2672727272727273,0.2862706913339825,0.2764456981664316,1027.0
8,0.2138728323699422,0.11234817813765183,0.14731254147312545,988.0
9,0.20833333333333334,0.20582329317269077,0.20707070707070707,996.0
micro avg,0.2829,0.2829,0.2829,10000.0
macro avg,0.25440845422988095,0.27794709402889267,0.25508998058905086,10000.0
weighted avg,0.25670779047811937,0.2829,0.2585752199785525,10000.0
