,precision,recall,f1-score,support
0,0.23048016701461377,0.5738045738045738,0.32886505808757827,962.0
1,0.45486459378134403,0.8298261665141812,0.5876255264010367,1093.0
2,0.16184971098265896,0.11801896733403583,0.1365021328458257,949.0
3,0.16058394160583941,0.12559467174119887,0.14095034703683929,1051.0
4,0.1713747645951036,0.18254764292878636,0.17678484701311317,997.0
5,0.2465753424657534,0.019088016967126194,0.03543307086614173,943.0
6,0.17158469945355193,0.1579476861167002,0.16448402304871662,994.0
7,0.22081016679904686,0.27069133398247325,0.24321959755030623,1027.0
8,0.1881720430107527,0.0354251012145749,0.0596252129471891,988.0
9,0.16279069767441862,0.09839357429718876,0.12265331664580725,996.0
micro avg,0.2471,0.2471,0.2471,10000.0
macro avg,0.21690861273830828,0.24113377349008394,0.19961431324425538,10000.0
weighted avg,0.21900199542056684,0.2471,0.20403461627074712,10000.0
